Index,Air_temperature,Dew_point_temperature,Relative_humidity,Vapour_pressure,Saturated_vapour_pressure,Wind_speed,Wind_direction,Speed_maximum_windgust,DNI,GHI,Gross_generation,Total_consumption,Time
0,10.43087248,7.219463087,81.61073826,10.26107383,12.8147651,8,199.1946309,9.973154362,0,0,0.018,84.321,1/07/2012 0:30
1,9.922147651,6.773825503,81.80536913,9.902684564,12.4033557,9.308724832,191.2751678,11.58389262,0,0,0.043,72.23,1/07/2012 1:00
2,9.612751678,6.455033557,81.7852349,9.683892617,12.11946309,8.046979866,191.8120805,9.89261745,0,0,0.02,55.424,1/07/2012 1:30
3,9.466442953,6.50738255,82.79865772,9.730872483,11.98456376,6.731543624,189.1275168,8.55033557,0,0,0.031,47.311,1/07/2012 2:00
4,9.479194631,6.559060403,82.95302013,9.772483221,11.98456376,5.691275168,211.3422819,7.932885906,0,0,0.068,39.729,1/07/2012 2:30
5,9.476510067,6.691946309,83.4966443,9.848322148,12.0114094,4.657718121,207.2483221,8.362416107,0,0,0.103,36.969,1/07/2012 3:00
6,9.385234899,6.654362416,83.76510067,9.82147651,11.9442953,7.060402685,207.3154362,9.926174497,0,0,0.139,36.199,1/07/2012 3:30
7,8.946308725,6.689261745,85.98657718,9.860402685,11.50738255,8.174496644,211.2751678,9.791946309,0,0,0.105,30.83,1/07/2012 4:00
8,9.104697987,6.736241611,85.4295302,9.883892617,11.63691275,7.879194631,207.114094,11.82550336,0,0,0.085,29.988,1/07/2012 4:30
9,9.389932886,6.594630872,83.43624161,9.755704698,11.86107383,8.422818792,208.590604,11.10738255,0,0,0.123,32.448,1/07/2012 5:00
10,9.458389262,6.575838926,82.79865772,9.759060403,11.96040268,6.677852349,197.3154362,10.10738255,0,0,0.106,34.723,1/07/2012 5:30
11,9.427516779,6.553020134,82.80536913,9.708053691,11.91275168,6.88590604,210.8053691,9.389261745,0,0,0.122,30.449,1/07/2012 6:00
12,9.541610738,6.320805369,81.08724832,9.555704698,12.01006711,6.939597315,205.6375839,10.32214765,0,0,0.159,46.532,1/07/2012 6:30
13,9.646979866,6.677181208,82.3557047,9.785234899,12.07449664,9.11409396,209.5302013,12.59060403,22.47651007,49.39597315,0.082,45.347,1/07/2012 7:00
14,9.659060403,6.638255034,82.08053691,9.808053691,12.08053691,11.61744966,219.6644295,15.99328859,22.47651007,49.39597315,0.089,51.489,1/07/2012 7:30
15,9.845637584,6.740268456,81.65771812,9.840939597,12.20671141,8.040268456,190.8724832,12.73825503,39.63758389,128.0536913,1.191,59.815,1/07/2012 8:00
16,10.30134228,6.724832215,79.08724832,9.867114094,12.5738255,8.711409396,215.704698,12.29530201,39.63758389,128.0536913,3.866,67.505,1/07/2012 8:30
17,11.04697987,7.27852349,78.37583893,10.24161074,13.20805369,7.167785235,202.5503356,10.81208054,72.40939597,222.6241611,8.547,82.845,1/07/2012 9:00
18,11.82416107,7.39261745,74.9261745,10.33758389,13.8704698,9.248322148,231.6778523,12.73825503,72.40939597,222.6241611,17.897,71.55,1/07/2012 9:30
19,12.74026846,6.755704698,66.91946309,9.865771812,14.74832215,12.53691275,310.0671141,18.20134228,53.10067114,252.033557,25.171,75.91,1/07/2012 10:00
20,13.45234899,6.659731544,63.57718121,9.775167785,15.46040268,13.2885906,318.0536913,18.39597315,53.10067114,252.033557,26.371,66.997,1/07/2012 10:30
21,13.88456376,6.267114094,60.20134228,9.54966443,15.8885906,15.14765101,307.4496644,20.95973154,166.8255034,364.9597315,28.469,65.917,1/07/2012 11:00
22,14.2852349,5.832214765,56.87248322,9.234899329,16.2852349,15.67114094,302.2147651,22.36241611,166.8255034,364.9597315,33.735,65.649,1/07/2012 11:30
23,14.91342282,5.905369128,54.91275168,9.322818792,16.96778523,14.32885906,303.9597315,21.97315436,75.77181208,258.5838926,42.516,69.325,1/07/2012 12:00
24,15.28791946,4.706040268,49.2885906,8.589261745,17.3885906,16.70469799,298.9932886,24.16107383,75.77181208,258.5838926,50.76,70.529,1/07/2012 12:30
25,14.90671141,2.83557047,44.37583893,7.543624161,16.95100671,17.99328859,299.3288591,31.34899329,145.6711409,276.3959732,39.15,64.808,1/07/2012 13:00
26,15.03959732,2.715436242,43.77852349,7.469127517,17.12013423,19.28187919,308.3221477,32.15436242,145.6711409,276.3959732,28.962,57.057,1/07/2012 13:30
27,14.60805369,2.687248322,44.65100671,7.432214765,16.6590604,19.20134228,268.9261745,30.96644295,295.2416107,250.1677852,38.406,62.203,1/07/2012 14:00
28,14.98456376,2.03557047,41.63087248,7.071812081,17.03489933,18.93288591,286.5100671,30.06040268,295.2416107,250.1677852,32.184,52.622,1/07/2012 14:30
29,14.75637584,2.152348993,42.79194631,7.154362416,16.81946309,19.40939597,291.5436242,30.63758389,133.409396,120.2281879,31.833,58.869,1/07/2012 15:00
30,14.71275168,2.185234899,42.8590604,7.146308725,16.75838926,20.44295302,294.3624161,33.17449664,133.409396,120.2281879,31.346,56.752,1/07/2012 15:30
31,14.26778523,2.512751678,45.20805369,7.329530201,16.31073826,17.81879195,297.7181208,28.20805369,0,0,18.815,55.142,1/07/2012 16:00
32,13.35771812,2.872483221,49.18120805,7.54966443,15.36979866,13.81879195,291.4765101,19.77181208,0,0,6.172,70.403,1/07/2012 16:30
33,11.88657718,3.3,55.91946309,7.745637584,13.99127517,14.24832215,302.885906,22.68456376,0,0,0.483,79.209,1/07/2012 17:00
34,10.97785235,3.265100671,59.42281879,7.728187919,13.21543624,11.44295302,302.2818792,16.99328859,0,0,0.032,97.522,1/07/2012 17:30
35,10.27248322,3.359060403,63.32885906,7.765771812,12.62147651,10.40939597,319.5302013,14.7852349,0,0,0.006,121.25,1/07/2012 18:00
36,9.671812081,3.206711409,65.34228188,7.706040268,12.14765101,9.644295302,308.0536913,12.23489933,0,0,0.008,121.918,1/07/2012 18:30
37,9.481879195,3.624832215,68.11409396,7.933557047,11.99463087,8.637583893,208.7248322,11.65771812,0,0,0.016,121.411,1/07/2012 19:00
38,9.083892617,3.22147651,68.28187919,7.717449664,11.69865772,9.711409396,221.8120805,12.81879195,0,0,0.014,118.27,1/07/2012 19:30
39,9.097315436,3.431543624,68.97315436,7.830872483,11.69127517,8.838926174,310.4026846,11.48993289,0,0,0.006,110.337,1/07/2012 20:00
40,8.551677852,3.410738255,71.10067114,7.826845638,11.24496644,6.570469799,225.3691275,9.080536913,0,0,0.018,110.562,1/07/2012 20:30
41,8.286577181,3.246308725,71.54362416,7.738255034,11.07248322,10.82550336,232.0134228,14.57718121,0,0,0.018,103.515,1/07/2012 21:00
42,8.008053691,3.07114094,72.15436242,7.589261745,10.83422819,11.97986577,229.3959732,15.52348993,0,0,0.019,100.1,1/07/2012 21:30
43,8.058389262,2.679865772,70.11409396,7.438926174,10.89395973,13.4966443,230.8053691,18.02684564,0,0,0.012,94.461,1/07/2012 22:00
44,7.991275168,2.757718121,70.79865772,7.443624161,10.8114094,13.16107383,316.6442953,17.83892617,0,0,0.012,89.846,1/07/2012 22:30
45,7.897315436,2.726174497,70.97986577,7.453020134,10.77852349,12.12080537,234.4966443,17.89261745,0,0,0.013,79.236,1/07/2012 23:00
46,7.916107383,2.961744966,71.87248322,7.590604027,10.77718121,12.17449664,233.6241611,18.95973154,0,0,0.001,92.008,1/07/2012 23:30
47,7.966442953,2.961744966,71.63758389,7.577852349,10.79731544,15.4295302,233.2214765,23.45637584,0,0,0.003,98.669,2/07/2012 0:00
48,8.53557047,3.146308725,69.54362416,7.666442953,11.1852349,17.46979866,242.4832215,23.6442953,0,0,0.035,95.307,2/07/2012 0:30
49,9.02885906,3.373825503,67.7852349,7.808724832,11.56577181,18.53691275,319.3959732,25.72483221,0,0,0.037,82.439,2/07/2012 1:00
50,9.038255034,3.297315436,67.48322148,7.733557047,11.49328859,19.71812081,310.8053691,29.20134228,0,0,0.042,57.801,2/07/2012 1:30
51,9.034899329,3.304026846,67.32885906,7.754362416,11.53691275,18.5033557,310.8724832,30.43624161,0,0,0.056,48.999,2/07/2012 2:00
52,8.459731544,3.489261745,71.12751678,7.873825503,11.13355705,16.60402685,323.0872483,22.65100671,0,0,0.118,41.201,2/07/2012 2:30
53,8.102684564,3.418791946,72.68456376,7.824161074,10.87449664,16.53691275,320.5369128,24.61073826,0,0,0.086,34.887,2/07/2012 3:00
54,8.163087248,4.006711409,75.32214765,8.177181208,10.90201342,19.08053691,322.6845638,25.12751678,0,0,0.197,29.169,2/07/2012 3:30
55,8.504697987,4.097315436,73.83221477,8.165771812,11.1147651,19.2147651,322.4161074,27.32214765,0,0,0.303,36.02,2/07/2012 4:00
56,8.316107383,4.102013423,74.83221477,8.202684564,10.97651007,16.76510067,316.1744966,24.0738255,0,0,0.229,37.97,2/07/2012 4:30
57,8.373154362,4.213422819,75.19463087,8.275838926,11.01409396,16.04026846,317.1812081,21.91946309,0,0,0.106,35.996,2/07/2012 5:00
58,8.361744966,4.433557047,76.37583893,8.406711409,11.03288591,17.85234899,319.9328859,23.97315436,0,0,0.062,42.26,2/07/2012 5:30
59,8.690604027,4.604697987,75.58389262,8.480536913,11.25100671,18.73154362,318.590604,26.93288591,0,0,0.167,42.456,2/07/2012 6:00
60,8.800671141,4.552348993,74.77181208,8.451006711,11.31275168,17.93959732,311.6107383,24.69127517,0,0,0.096,55.313,2/07/2012 6:30
61,8.734899329,4.630201342,75.39597315,8.510738255,11.26577181,17.98657718,312.5503356,25.29530201,184.0469799,87.4966443,0.07,77.463,2/07/2012 7:00
62,9.043624161,4.756375839,74.48993289,8.581208054,11.54026846,17.77852349,323.0201342,24.73154362,184.0469799,87.4966443,1.042,80.226,2/07/2012 7:30
63,9.679865772,5.037583893,72.83221477,8.769798658,12.02416107,17.89261745,332.147651,23.45637584,403.4899329,237.7315436,8.246,79.811,2/07/2012 8:00
64,10.97986577,5.006040268,66.73154362,8.744295302,13.11946309,19.74496644,310.4026846,26.98657718,403.4899329,237.7315436,18.705,77.882,2/07/2012 8:30
65,11.72348993,4.956375839,63.37583893,8.673825503,13.75436242,18.37583893,306.7785235,27.22818792,559.8724832,373.3892617,31.358,72.039,2/07/2012 9:00
66,12.43557047,5.023489933,60.55704698,8.755033557,14.45302013,19.26174497,299.8657718,30.70469799,559.8724832,373.3892617,43.601,73.625,2/07/2012 9:30
67,13.16979866,4.730872483,56.7114094,8.568456376,15.17785235,22.36912752,290,36.23489933,638.7852349,468.6912752,53.334,63.295,2/07/2012 10:00
68,13.77986577,4.817449664,54.63758389,8.604026846,15.78389262,24.14765101,280.738255,35.51006711,638.7852349,468.6912752,61.309,49.314,2/07/2012 10:30
69,14.32684564,4.653020134,52.23489933,8.526845638,16.32684564,21.26174497,280.6711409,34.93288591,525.2550336,478.6174497,67.947,48.216,2/07/2012 11:00
70,14.76711409,4.287919463,49.41610738,8.305369128,16.80604027,21.90604027,267.3825503,32.70469799,525.2550336,478.6174497,71.573,41.966,2/07/2012 11:30
71,14.90872483,3.615436242,46.76510067,7.92147651,16.97315436,22.76510067,266.2416107,37.75167785,140.0939597,297.3691275,68.099,40.059,2/07/2012 12:00
72,15.21208054,3.45704698,45.39597315,7.861073826,17.30402685,20.67114094,258.9261745,36.73154362,140.0939597,297.3691275,60.443,43.103,2/07/2012 12:30
73,15.20201342,3.510067114,45.45637584,7.884563758,17.31610738,18.34228188,257.9865772,29.22818792,334.0268456,338.9127517,44.463,44.93,2/07/2012 13:00
74,15.57315436,3.744966443,45.16107383,7.999328859,17.70872483,15.09395973,251.3422819,26.17449664,334.0268456,338.9127517,42.988,48.962,2/07/2012 13:30
75,15.85167785,3.244295302,42.89261745,7.701342282,18.01073826,18.15436242,255.3020134,29.6442953,236.2214765,213.0268456,49.58,49.67,2/07/2012 14:00
76,16.10604027,3.802013423,43.99328859,8.046308725,18.33624161,16.0738255,257.9865772,25.83892617,236.2214765,213.0268456,41.982,48.029,2/07/2012 14:30
77,16.19328859,3.572483221,43.02013423,7.905369128,18.47181208,18.40268456,257.0469799,25.93288591,122.6375839,102.9597315,35.377,47.474,2/07/2012 15:00
78,15.3147651,2.868456376,43.38926174,7.526845638,17.43557047,18.2885906,250.6711409,28.34228188,122.6375839,102.9597315,23.531,44.969,2/07/2012 15:30
79,15.13758389,2.975838926,44.03355705,7.559731544,17.2261745,16.62416107,254.8993289,26.17449664,0,0,11.41,49.131,2/07/2012 16:00
80,14.67651007,3.704026846,47.77181208,7.955704698,16.75838926,14.27516779,256.8456376,18.88590604,0,0,5.302,62.31,2/07/2012 16:30
81,13.90134228,3.67114094,50.14765101,7.953020134,15.91342282,13.77852349,248.9261745,19.67114094,0,0,0.547,77.629,2/07/2012 17:00
82,12.92483221,3.887919463,54.55033557,8.11409396,14.94563758,10.16778523,188.0536913,16.52348993,0,0,0.006,99.26,2/07/2012 17:30
83,12.63355705,3.730201342,54.76510067,7.99261745,14.66644295,11.26845638,269.3288591,15.5033557,0,0,0.018,116.85,2/07/2012 18:00
84,12.06577181,3.961744966,57.66442953,8.112751678,14.16442953,12.97315436,273.2214765,17.90604027,0,0,0.048,117.577,2/07/2012 18:30
85,11.70536913,4.008053691,59.44966443,8.153020134,13.80268456,13.65771812,276.1744966,19.47651007,0,0,0.006,111.503,2/07/2012 19:00
86,11.26577181,4.012751678,61.10067114,8.138926174,13.38926174,13.48322148,275.5033557,18.34899329,0,0,0.012,108.728,2/07/2012 19:30
87,11.13355705,4.07852349,61.91946309,8.19261745,13.25503356,14.06040268,278.2550336,19.87919463,0,0,0.019,105.795,2/07/2012 20:00
88,10.78590604,3.867114094,62.37583893,8.066442953,12.98724832,13.7114094,266.5100671,19.89261745,0,0,0.012,100.632,2/07/2012 20:30
89,10.5704698,3.788590604,62.90604027,8.012751678,12.7852349,12.70469799,279.3288591,18.73154362,0,0,0.006,99.591,2/07/2012 21:00
90,10.0557047,3.479194631,63.89261745,7.828187919,12.40469799,10.91946309,287.7852349,15.7852349,0,0,0.007,97.791,2/07/2012 21:30
