Index,Total_consumption,Air_temperature,Air_temperature_future,Dew_point_temperature,Relative_humidity,Vapour_pressure,Saturated_vapour_pressure,Wind_speed,Wind_direction,Speed_maximum_windgust,DNI,GHI,Gross_generation,Time
0,87.623,11.54104478,12.17761194,9.141791045,82.48507463,11.09552239,13.6238806,9.276119403,234.3283582,12.3880597,0,0,0.006,1/07/2011 0:30
1,78.209,11.38283582,12.07761194,9.105970149,82.97014925,11.05820896,13.5,9.865671642,234.4029851,13.90298507,0,0,0.018,1/07/2011 1:00
2,83.845,11.45522388,11.96940299,9.232089552,83.40298507,11.15298507,13.57238806,9.649253731,239.8507463,12.86567164,0,0,0.006,1/07/2011 1:30
3,70.909,11.24925373,11.90074627,9.065671642,83.6641791,11.00074627,13.33358209,10.21641791,230.9701493,14.02985075,0,0,0.012,1/07/2011 2:00
4,56.358,11.05895522,11.74253731,8.929850746,83.87313433,10.89552239,13.22910448,9.71641791,237.238806,12.11940299,0,0,0.012,1/07/2011 2:30
5,46.482,11.01343284,11.45,9.042537313,84.29850746,10.98955224,13.15970149,10.55970149,246.641791,14.46268657,0,0,0,1/07/2011 3:00
6,45.198,10.89029851,11.42462687,8.906716418,84.42537313,10.88656716,13.06044776,10.00746269,237.3880597,13.52985075,0,0,0.006,1/07/2011 3:30
7,39.414,10.83507463,11.26791045,8.902238806,84.42537313,10.85223881,13.00522388,6.962686567,251.641791,10.71641791,0,0,0.012,1/07/2011 4:00
8,38.739,10.80522388,11.14925373,8.829850746,84.40298507,10.81940299,13.00522388,8.141791045,214.4776119,10.24626866,0,0,0,1/07/2011 4:30
9,41.508,10.87537313,11.08283582,8.890298507,84.41791045,10.86567164,13.04701493,8.962686567,250.9701493,11.71641791,0,0,0.006,1/07/2011 5:00
10,42.563,10.67238806,10.99402985,8.746268657,84.50746269,10.73880597,12.85149254,7.970149254,250.8955224,11.09701493,0,0,0.006,1/07/2011 5:30
11,39.806,10.64212272,11.01492537,8.580762852,83.87645108,10.60854063,12.83864013,7.320895522,212.5373134,10.96268657,0,0,0.006,1/07/2011 6:00
12,51.705,10.74170813,10.92537313,8.680182421,83.87230514,10.67379768,12.92429519,8.589552239,264.4776119,13.5,0,0,0,1/07/2011 6:30
13,70.094,10.72189055,10.89029851,8.658706468,83.71890547,10.65547264,12.91965174,10.44776119,258.6567164,13.47761194,83.62686567,67.5,0.012,1/07/2011 7:00
14,81.948,10.92819237,10.8738806,8.820066335,83.11028192,10.79535655,13.08441128,8.611940299,212.9104478,11.90298507,83.62686567,67.5,0.268,1/07/2011 7:30
15,74.093,11.54643449,11.21940299,9.209784411,82.44195688,11.12106136,13.62529022,9.947761194,236.4179104,17.21641791,263.9179104,209.5074627,3.535,1/07/2011 8:00
16,61.96,11.88706468,11.79253731,9.53159204,81.99751244,11.410199,13.95049751,11.13432836,222.0895522,16.10447761,263.9179104,209.5074627,8.933,1/07/2011 8:30
17,53.632,12.59709784,12.53208955,9.655638474,79.44859038,11.52172471,14.62048093,12.42537313,217.238806,16.99253731,402.4179104,342.6716418,15.516,1/07/2011 9:00
18,52.158,13.04444444,13.23731343,9.800580431,78.1907131,11.64593698,15.05538972,12.79104478,213.6567164,18.82089552,402.4179104,342.6716418,23.335,1/07/2011 9:30
19,45.593,13.69253731,14.05820896,9.930597015,75.87313433,11.76716418,15.69253731,13.60447761,208.6567164,19.01492537,329.0522388,378.9402985,32.061,1/07/2011 10:00
20,45.959,14.06641791,14.52014925,9.885074627,73.56716418,11.69477612,16.09253731,12.2761194,204.5522388,20.45522388,329.0522388,378.9402985,37.469,1/07/2011 10:30
